0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	
8.138786e-09	1.643057e-08	1.183237e-05	5.883136e-06	1.187693e-05	4.732952e-03	9.999999e-01	3.813491e-04	-1.888990e-04	4.128146e-06	3.050797e-01	-1.511185e-01	3.299152e-03	
1.147518e-07	2.316653e-07	4.732966e-05	4.506765e-05	9.098560e-05	9.466003e-03	9.999985e-01	1.525401e-03	-7.555849e-04	1.645995e-05	6.101637e-01	-3.022285e-01	6.555652e-03	
5.699664e-07	1.150707e-06	1.064933e-04	1.511342e-04	3.051346e-04	1.419963e-02	9.999926e-01	3.432167e-03	-1.700023e-03	3.683524e-05	9.152563e-01	-4.533215e-01	9.726488e-03	
1.788537e-06	3.611044e-06	1.893288e-04	3.574061e-04	7.216385e-04	1.893508e-02	9.999768e-01	6.101648e-03	-3.022147e-03	6.498842e-05	1.220362e+00	-6.043897e-01	1.276897e-02	
4.359427e-06	8.802164e-06	2.958508e-04	6.975614e-04	1.408567e-03	2.367476e-02	9.999434e-01	9.533821e-03	-4.721852e-03	1.005424e-04	1.525483e+00	-7.554258e-01	1.563993e-02	
9.032441e-06	1.823877e-05	4.260893e-04	1.204947e-03	2.433371e-03	2.842259e-02	9.998827e-01	1.372860e-02	-6.798980e-03	1.430169e-04	1.830624e+00	-9.064234e-01	1.829659e-02	
1.673378e-05	3.379250e-05	5.800995e-04	1.913067e-03	3.863878e-03	3.318449e-02	9.997827e-01	1.868582e-02	-9.253297e-03	1.918187e-04	2.135788e+00	-1.057377e+00	2.069592e-02	
2.855676e-05	5.767345e-05	7.579720e-04	2.855369e-03	5.767871e-03	3.796871e-02	9.996292e-01	2.440514e-02	-1.208448e-02	2.462473e-04	2.440975e+00	-1.208283e+00	2.279489e-02	
4.574381e-05	9.239427e-05	9.598433e-04	4.064687e-03	8.211969e-03	4.278605e-02	9.994059e-01	3.088607e-02	-1.529208e-02	3.055060e-04	2.746188e+00	-1.359140e+00	2.455108e-02	
